concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.122017,8.195528,8.297548,8.79864,8.923693,0.0,8,0,0.122017,0.122017,2.095136,0.025525,0.63126,0.037272,7.412684,0.091617
2,0.159865,12.505918,13.345704,16.580376,16.688117,0.0,10,0,0.159865,0.351703,3.245763,0.052039,0.714627,0.044889,11.478516,0.212799
4,0.021339,184.524686,307.188654,307.566709,307.567744,0.125,7,1,0.012194,0.07926,3.425245,0.051098,1.316701,0.120253,182.951141,0.066465
8,0.22746,30.238334,23.531578,49.971347,50.478347,0.15,17,3,0.25422,0.695761,6.005512,0.056677,1.802227,0.27144,27.949694,0.2042
16,0.041343,75.772904,71.313063,167.370117,280.110802,0.48,13,12,0.063605,0.260779,10.137245,0.066294,3.774256,0.585361,71.007579,0.375011
32,0.066981,150.692003,106.537748,313.519448,313.519547,0.487805,21,20,0.086119,0.38275,19.056111,0.188294,9.208267,2.392999,138.9017,0.082689
