concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.212034,4.716218,0.716674,1.433577,72.064739,0.0,23,0,0.202815,0.331879,0.237657,0.01443,0.407238,0.065069,4.208487,0.028075
2,2.096991,0.948632,0.905899,1.256025,1.701998,0.0,43,0,2.096991,4.535353,0.218365,0.026283,0.569208,0.096134,0.220644,0.048841
4,0.493889,3.225158,1.367787,2.04974,47.703751,0.0,51,0,0.484205,1.559139,0.239269,0.03219,0.929169,0.157969,2.032144,0.058177
8,0.497681,4.744763,3.076372,3.865779,44.564477,0.0,56,0,0.488794,2.257338,0.311289,0.047635,1.800744,0.343449,1.943052,0.132789
16,0.545284,7.36303,5.667461,9.04317,47.142189,0.0,58,0,0.535882,3.158886,0.279284,0.051899,2.618583,0.294236,1.855876,0.101137
32,2.671139,10.937944,10.727891,18.006949,19.002669,0.014925,66,1,2.711611,17.686179,0.271436,0.052314,4.797955,0.256863,0.27625,0.089078
