concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,1.429265,0.699647,0.670136,0.940776,1.157856,0.0,87,0,1.429265,1.922115,0.202459,0.015981,0.397702,0.068889,0.203661,0.025008
2,2.196185,0.909638,0.880448,1.244236,1.559256,0.0,133,0,2.196185,4.607034,0.200631,0.02385,0.553471,0.101037,0.202069,0.04008
4,0.515228,3.215673,1.461212,2.067134,2.8094,0.0,144,0,0.515228,1.738893,1.992222,0.033096,0.927375,0.167361,2.00002,0.071277
8,0.577699,4.548791,2.80707,3.920222,4.818143,0.0,153,0,0.577699,2.616636,1.9811,0.046067,1.774905,0.346468,1.991633,0.112137
16,0.61331,6.909969,5.374689,7.224643,9.298042,0.0,175,0,0.61331,3.206736,1.697806,0.053247,1.973841,0.327194,1.704752,0.103754
32,2.845101,10.81479,10.705307,14.414073,16.832983,0.0,187,0,2.845101,17.496609,0.233601,0.056298,2.62599,0.311306,0.239662,0.093355
