concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.282189,3.543685,4.068622,4.620234,4.662369,0.0,6,0,0.282189,0.987662,2.491417,0.02194,0.908324,0.056915,2.492018,0.082954
2,0.253301,4.182914,4.267058,5.509257,5.644987,0.222222,7,2,0.325673,2.062593,4.587322,0.015193,0.857456,0.064291,3.191644,0.06684
4,0.261939,9.217833,8.362277,16.285712,17.667929,0.272727,8,3,0.327424,3.110529,9.163328,0.013173,0.879935,0.085853,8.190655,0.05592
8,0.286138,9.110464,0.755421,37.878504,71.164232,0.206897,23,6,0.335901,1.60486,9.814806,0.014646,0.919301,0.081657,8.076387,0.030808
16,0.623956,12.570337,7.153114,36.310013,39.245334,0.181818,27,6,0.716394,4.044159,6.185219,0.020998,4.429244,0.368056,4.36601,0.055824
32,0.868789,20.554144,18.205413,42.129929,44.243314,0.104167,43,5,0.969811,4.586396,5.241826,0.028392,3.939876,0.394208,3.250197,0.050861
