elapsed_sec,throughput_eps,completed_so_far,errors_so_far
29.946928024291992,1.1972236358127364,6,3
34.950801849365234,0.0,6,3
39.952425718307495,1.1996103979863795,12,9
46.66506242752075,2.234591361009026,27,16
51.75318241119385,1.3757537209149546,34,17
56.753826379776,1.1998454674431056,40,21
61.75492334365845,2.399473572830744,52,30
66.75825643539429,1.9986676514736366,62,34
72.8067467212677,1.9839661523515497,74,41
83.0582947731018,1.073008675800138,85,50
88.06004786491394,0.0,85,50
93.061359167099,1.9994756166509828,95,60
100.37689900398254,2.3238203029514337,112,74
105.37867546081543,0.9996448348205448,117,77
110.38046050071716,1.1995717433146382,123,82
115.38150644302368,1.7996235395208418,132,88
120.38277244567871,3.3991393361151325,149,103
125.38416314125061,2.1993882640960467,160,112
130.3856716156006,1.9993967922446951,170,119
135.38740730285645,2.799028352431979,184,130
140.44649600982666,1.5813124583045781,192,138
145.44865536689758,1.3993956410255066,199,142
150.45163202285767,2.598453059842485,212,153
155.45286870002747,1.7995549063063139,221,160
160.45775270462036,0.399609660916144,223,160
165.45859098434448,0.19996647443179597,224,160
170.46228003501892,0.0,224,160
175.46254444122314,0.5999682729332598,227,161
180.46667957305908,0.5995041942241371,230,163
185.47196745872498,0.0,230,163
190.47617626190186,0.0,230,163
195.4765932559967,0.7999332865086506,234,166
200.4818525314331,0.39957970005971827,236,168
205.48707270622253,0.0,236,168
210.49224662780762,0.0,236,168
215.49438428878784,0.9995726505096212,241,172
