concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.214214,4.668216,0.674156,1.442092,71.960506,0.0,23,0,0.2049,0.335291,0.236929,0.017245,0.364842,0.058808,4.207395,0.032512
2,1.571795,1.134142,0.8576,1.269507,1.654722,0.0,121,0,1.571795,2.403157,0.460909,0.027652,0.524841,0.09293,0.464223,0.041521
4,1.15908,2.17423,1.466618,2.156578,3.132183,0.0,141,0,1.15086,3.27173,0.286625,0.035784,0.957609,0.167988,0.935523,0.07005
8,1.022684,5.384939,2.037993,4.731691,93.411272,0.006993,142,1,1.001078,4.313999,0.780795,0.043151,1.408537,0.263044,3.344646,0.089181
16,1.16442,6.371986,5.72691,7.322051,9.486032,0.0,168,0,1.157489,5.669616,0.260898,0.05153,2.002464,0.337629,0.813384,0.10499
32,1.158368,12.729433,11.595377,17.276585,44.805852,0.0,171,0,1.14482,7.031499,0.276886,0.055708,3.095015,0.330005,1.347089,0.099018
