concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.255083,3.92025,3.651387,6.768047,7.392305,0.0,6,0,0.255083,0.892792,2.950395,0.027064,0.811284,0.05435,2.950876,0.101116
2,0.376302,3.448595,3.70574,5.264631,5.730628,0.2,8,2,0.470378,2.540041,3.490044,0.016619,0.614692,0.065127,2.71554,0.045644
4,0.246648,7.488888,6.961375,11.27796,11.734855,0.333333,6,3,0.369972,3.124204,9.176705,0.014498,0.779699,0.117708,6.538532,0.04245
8,0.687694,5.677536,0.915014,19.771407,20.973701,0.178571,23,5,0.807293,3.109573,6.331994,0.013734,1.156141,0.118992,4.381021,0.017615
16,0.72053,9.304788,6.290074,26.847712,30.928096,0.162162,31,6,0.836744,2.97509,4.914489,0.017191,3.681409,0.357151,2.509732,0.021518
32,0.776328,20.608835,18.62493,37.008846,37.868728,0.117647,45,6,0.879839,3.139817,5.195185,0.024658,4.213344,0.359068,3.740564,0.055149
