concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.335298,2.982392,2.242352,5.739043,5.875875,0.0,21,0,0.335298,0.447064,1.025289,0.012538,0.44194,0.062481,2.451423,0.020165
2,0.091676,21.815992,2.85358,138.920431,302.434944,0.0,32,0,0.085946,0.137514,0.535593,0.024899,0.591418,0.096852,21.094097,0.029271
4,0.627409,6.368987,6.421786,8.543407,8.65596,0.0,40,0,0.627409,1.3803,0.849617,0.036334,1.240133,0.228076,4.815687,0.059085
8,0.112777,41.24708,12.716472,303.040307,303.154318,0.130435,40,6,0.101499,0.394719,1.147042,0.053299,2.031679,0.450949,38.596542,0.127783
16,1.31083,11.166349,10.968146,16.3333,17.151156,0.13,87,13,1.31083,3.616083,0.813603,0.095299,2.900701,0.542618,7.487271,0.191128
32,0.073496,32.199372,34.786865,37.111537,37.287616,0.933333,5,70,0.073496,24.724057,2.837357,0.618932,9.119065,1.819253,14.972145,6.032962
