concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.436458,2.291143,0.624883,4.472745,25.985431,0.0,19,0,0.436458,0.758059,1.846015,0.022894,0.34915,0.045019,1.84887,0.043764
2,1.936794,0.921244,0.854894,1.354215,1.911997,0.111111,40,5,2.178893,4.503045,0.250062,0.025443,0.518349,0.083861,0.268065,0.044669
4,1.535004,1.54231,1.491018,2.22935,2.386774,0.410714,33,23,2.604855,7.76805,0.283287,0.031391,0.88054,0.209837,0.34658,0.09702
8,1.236082,3.269277,3.141083,4.304493,4.916607,0.508772,28,29,2.383873,10.594991,0.359078,0.047321,1.958153,0.53874,0.523119,0.230505
16,0.366041,10.36622,10.180468,15.800477,16.076933,0.795918,10,39,1.427561,10.578594,4.036582,0.072664,3.926239,0.79706,4.568865,1.027838
32,0.569334,13.535567,12.773013,21.340012,23.183453,0.794118,14,54,1.870668,14.88401,0.573292,0.196287,6.900704,1.765163,1.269789,3.417069
