concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.153251,6.5252,6.21534,9.010074,9.391304,0.0,4,0,0.153251,0.498064,5.637723,0.015772,0.621005,0.04165,5.638578,0.218822
2,0.201119,9.231631,9.252201,16.342433,17.20184,0.0,5,0,0.201119,1.166489,8.369327,0.014934,0.589401,0.058866,8.370087,0.20906
4,0.082283,28.798082,9.258462,92.850669,92.870509,0.0,9,0,0.063998,0.310848,9.103065,0.016002,1.194497,0.121881,27.418078,0.049258
8,0.232273,27.865682,19.786325,55.813216,55.937308,0.071429,13,1,0.232273,0.911225,25.028445,0.021546,2.408688,0.281654,25.031857,0.127006
16,0.166873,69.884831,57.764186,91.251105,92.237732,0.2,16,4,0.166873,0.834367,64.203041,0.032158,4.70466,0.811189,64.206161,0.124778
32,0.281107,102.055826,101.596428,106.653369,108.702981,0.333333,32,16,0.0,0.702767,0.0,0.032158,9.092659,1.428226,91.451118,0.005398
