concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.740801,1.349875,1.035363,2.492463,4.11401,0.0,45,0,0.740801,1.69561,0.919833,0.016408,0.0,0.0,0.0,0.0
2,0.901689,2.191638,2.03097,3.752797,5.247887,0.0,56,0,0.901689,4.025398,0.997159,0.017354,0.0,0.0,0.0,0.0
4,1.060538,3.707725,3.647226,5.657427,5.840962,0.0,69,0,1.060538,6.378596,0.87782,0.0169,0.0,0.0,0.0,0.0
8,0.743641,10.016346,10.55988,13.541993,13.924729,0.0,53,0,0.743641,8.292295,1.240994,0.016523,0.0,0.0,0.0,0.0
16,0.960937,15.340521,15.501814,19.146357,19.973129,0.0,71,0,0.960937,10.326692,0.922256,0.017018,0.0,0.0,0.0,0.0
32,0.897736,30.078978,33.371039,37.188587,41.110421,0.0,80,0,0.897736,10.772826,0.964496,0.016656,0.0,0.0,0.0,0.0
