concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.293395,3.408329,3.753148,4.325793,4.328441,0.0,6,0,0.293395,1.173579,2.168517,0.02258,1.076924,0.055264,2.172729,0.099619
2,0.624823,3.033475,3.028877,4.35863,4.605762,0.0,15,0,0.624823,3.582317,2.106032,0.014557,0.782961,0.071506,2.108702,0.058646
4,0.706934,5.367733,5.194515,7.785541,9.993998,0.0,16,0,0.706934,6.494953,4.116927,0.013829,1.110283,0.080468,4.11927,0.055015
8,0.960916,7.101071,7.939882,16.776471,17.832749,0.037037,26,1,0.554374,7.946033,8.101641,0.013435,2.121912,0.202872,4.722558,0.039241
16,0.754176,13.855882,15.036625,21.440134,22.696519,0.193548,25,6,0.482673,9.26128,7.721928,0.02278,4.693528,0.68807,4.977084,0.120549
32,0.898132,21.849426,21.558816,32.440389,34.265317,0.061224,46,3,0.585738,8.219863,8.640758,0.028012,4.641589,0.378545,5.332929,0.116422
