elapsed_sec,throughput_eps,completed_so_far,errors_so_far,archives,queries,total_backlog,stage_compress_time,stage_segment_time,stage_llm_extract_time,stage_db_insert_time
30.438753128051758,0.0,0,0,6,0,6,4.691885067615658,1.220139678567648,0.0,0.0
32.85120749473572,2.9016092891414367,7,0,2,0,2,5.871340541634709,1.5283446870744228,6.8683111616410315,1.3316376167349517
34.852035999298096,0.4997929596263526,8,0,10,0,10,10.020831505768001,6.503450384363532,6.997577806469053,1.3316750167869031
38.245444774627686,0.5893778593785086,10,0,10,0,10,15.217048799619079,8.99970672139898,11.049088496249169,1.7210231237113476
40.247042417526245,3.9968072646283774,18,0,13,0,13,23.13553014304489,15.85665934998542,29.077067345846444,3.532586449291557
44.54428172111511,1.1635377149753372,23,1,13,0,13,30.152568886522204,20.828823376446962,39.773654624819756,7.163536704145372
46.877360820770264,2.571708777849345,29,2,12,0,12,35.780206120572984,24.4539513126947,48.81345454324037,8.876309273764491
49.41142201423645,1.973117307858224,34,2,12,0,12,38.01502873003483,27.30795248877257,77.4704057937488,11.56358462292701
52.45205998420715,1.6443917524479823,39,2,20,0,20,41.409062582068145,39.65962826600298,86.82788738748059,20.019066444132477
59.56622052192688,0.983953055723941,46,2,22,0,22,66.0074903764762,53.24784943833947,119.77863773005083,27.958646736107767
66.44266748428345,0.5816957539114349,50,2,19,0,19,112.78907809080556,72.54039556346834,132.5372668216005,37.31055445456877
68.44521164894104,6.991106736661563,64,4,22,0,22,134.7609824812971,94.4583635199815,171.21525884559378,43.86886004079133
75.15641403198242,0.14900459603586266,65,4,22,0,22,137.9435964152217,96.59219534182921,194.81526221940294,47.644881397951394
77.15812563896179,2.497862320709184,70,4,26,0,26,172.23746373457834,116.69133394164965,211.52402809495106,53.07255034148693
81.36315989494324,0.23781019110071488,71,4,27,0,27,172.23746373457834,116.69133394164965,219.12662266381085,54.3983038244769
83.36524534225464,6.493229356148454,84,4,33,0,33,228.14658710034564,187.9409406823106,293.99073749314994,74.29368344508111
93.25227570533752,0.0,84,4,34,0,34,232.0883214082569,194.87124488223344,307.7626638477668,78.29302206914872
95.253502368927,2.498467610376431,89,5,35,0,35,232.0883214082569,194.87124488223344,325.88529855944216,80.64624617109075
97.25823402404785,1.4964596345535102,92,5,35,0,35,232.0883214082569,194.87124488223344,349.7012165822089,84.57734502200037
99.26098823547363,4.993123940496371,102,6,33,0,33,385.3779615769163,322.4708202080801,403.3261174443178,101.55758830811828
108.46833825111389,0.10860888293605966,103,6,32,0,32,385.3779615769163,322.4708202080801,404.94275928102434,101.77177855418995
110.46905612945557,10.99605308582289,125,7,30,0,30,414.99965727934614,371.3498721574433,495.9857018524781,143.37092143436894
120.69212198257446,0.0978180141229273,126,7,30,0,30,414.99965727934614,371.3498721574433,508.79463848285377,163.60087394760922
123.65691494941711,0.0,126,7,32,0,32,414.99965727934614,371.3498721574433,526.4164453772828,163.60087394760922
125.6605453491211,2.4954702228208907,131,9,29,0,29,414.99965727934614,371.3498721574433,536.762320054695,172.67131937947124
127.66386103630066,0.9983449003066344,133,9,31,0,31,414.99965727934614,371.3498721574433,584.3878761515953,176.69952149037272
129.66532492637634,0.4996342951569243,134,9,38,0,38,636.0737143764272,532.5459536691196,594.1140937698074,179.08855212153867
139.50165009498596,0.10166398353637913,135,9,39,0,39,636.0737143764272,532.5459536691196,594.1140937698074,190.75343284057453
141.5429356098175,12.737071718331205,161,9,36,0,36,676.7185841770843,643.336409246549,700.5330548156053,235.84734419593588
155.97092723846436,0.13861943169061658,163,9,35,0,35,676.7185841770843,643.336409246549,755.3965002517216,271.8939442411065
157.97262740135193,0.9991506405808946,165,9,34,0,34,676.7185841770843,643.336409246549,759.1659024208784,272.6405671876855
159.97642612457275,0.0,165,9,34,0,34,676.7185841770843,643.336409246549,774.8246904658154,272.6405671876855
161.9810926914215,3.49185251839845,172,9,31,0,31,849.5045281932689,779.2916155918501,806.7926676310599,287.20416146470234
170.66181540489197,0.34559334505002665,175,9,29,0,29,861.0283140484244,784.1790785845369,814.0454497812316,287.33491663075984
172.66812443733215,0.49842770173034806,176,9,28,0,28,861.5081783644855,784.2358106058091,846.0733912121505,287.5409211111255
174.67210698127747,2.994038055934152,182,11,27,0,27,861.5081783644855,784.2358106058091,867.1554420422763,294.3810268989764
176.6751914024353,2.995380492516555,188,11,23,0,23,861.5081783644855,784.2358106058091,921.1716412138194,313.56553728086874
178.67778968811035,6.491566527841042,201,12,17,0,17,865.505243350286,791.6600257796235,937.1581629528664,328.04946373263374
186.24245929718018,0.0,201,12,17,0,17,914.0848385086283,802.4762512827292,937.1581629528664,375.3306914418936
188.24619936943054,2.495333635956377,206,12,14,0,14,932.6941399057396,814.6537006958388,953.1906990190037,380.0545461149886
191.74645972251892,1.4284651699089637,211,12,11,0,11,937.1936099966988,818.6718863560818,971.7293936745264,384.00506013352424
194.76354312896729,1.6572296242502211,216,12,8,0,8,937.1936099966988,818.6718863560818,984.9938596957363,385.34561462234706
196.77260422706604,0.9954898842512406,218,12,6,0,6,938.6029328606091,819.2538879942149,992.5342436488718,385.8912423970178
198.77496099472046,0.4994115015634352,219,12,5,0,5,938.6029328606091,819.2538879942149,1003.8388098021969,386.22551093483344
200.77817630767822,0.9983949239320579,221,12,5,0,5,939.6001307461411,819.3781957132742,1003.8388098021969,388.2448131958954
202.78071761131287,0.499365480344892,222,12,4,0,4,939.6001307461411,819.3781957132742,1008.9659457253292,388.4358835676685
204.7843723297119,0.49908798697562823,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
206.78730082511902,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
208.7899775505066,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
210.7912037372589,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
212.79390859603882,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
214.7962200641632,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
216.79948711395264,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
218.80220651626587,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
220.80484414100647,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
222.80846738815308,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
224.81133556365967,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
226.81407284736633,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
228.81695437431335,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
230.81964468955994,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
232.82257556915283,0.0,223,12,3,0,3,939.6001307461411,819.3781957132742,1008.9659457253292,388.4550233418122
