wall_time,type,user_id,latency,status,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
26.152613401412964,archive,8ebdbe50,0.0,error,,,,
27.640299320220947,archive,c960da58,1.1964488793164492,success,3.0901712994091213,0.3953088712878525,0.8978659966960549,0.0677872858941555
27.855207920074463,archive,37d43f65,2.58389232493937,success,0.0,0.0,1.5511998059228063,0.07800933299586177
28.95422077178955,archive,75499fd8,0.0,error,,,,
29.465201377868652,archive,6ade9755,0.0,error,,,,
29.748497486114502,archive,ccb36322,4.728353683371097,success,0.0,0.0,2.2485095341689885,1.1086116028018296
35.16343379020691,archive,e01b8e2f,0.0,error,,,,
35.34834027290344,archive,6b168ec8,0.0,error,,,,
35.95364713668823,archive,3f1e9474,0.0,error,,,,
37.351009130477905,archive,6ade9755,0.0,error,,,,
38.34694957733154,archive,af8d2e46,0.0,error,,,,
38.469810962677,archive,b86304ba,0.0,error,,,,
42.05803203582764,archive,66f24dbb,8.999009535182267,success,19.922622125595808,9.428867814596742,7.617913919966668,0.40252947760745883
42.061760902404785,archive,6ade9755,0.0,error,,,,
42.06183171272278,archive,e01b8e2f,0.0,error,,,,
42.063640832901,archive,853b0a1d,17.127392993308604,success,0.0,0.0,0.0,9.496023247949779
42.559470891952515,archive,6b168ec8,0.0,error,,,,
43.25619387626648,archive,dccbc061,0.0,error,,,,
43.76454281806946,archive,75499fd8,0.0,error,,,,
46.568323850631714,archive,0862e8bf,13.121933478862047,success,30.462361506186426,8.053979270160198,17.69866947317496,8.509616542141885
46.60193157196045,archive,c8c3f81d,3.8289270512759686,success,0.0,0.0,0.0,0.0
46.664485692977905,archive,d52b4f67,9.921345551032573,success,0.0,0.0,0.0,0.0
46.664629220962524,archive,4fd1909e,11.09366759005934,success,0.0,0.0,0.0,0.0
46.664690017700195,archive,6b168ec8,0.0,error,,,,
46.664799213409424,archive,726462e0,0.0,error,,,,
46.664921045303345,archive,3b6f954b,17.45817933557555,success,0.0,0.0,0.0,0.0
46.66502380371094,archive,a06e4cfe,10.842653326690197,success,0.0,0.0,0.0,0.0
47.96777892112732,archive,f8c5f88b,5.903961799107492,success,18.40934798400849,1.8522589253261685,5.295987301040441,0.00018746405839920044
47.9712917804718,archive,19b5f2b3,12.400465911719948,success,0.0,0.0,0.0,0.0
48.68332529067993,archive,e47becba,12.236935388762504,success,0.0,0.0,0.0,0.9885190860368311
49.776228189468384,archive,66f24dbb,2.5646834797225893,success,1.2185780010186136,0.4098022850230336,1.3830811278894544,0.3113414831459522
51.46597599983215,archive,e47becba,0.0,error,,,,
51.7526798248291,archive,c960da58,9.603405684698373,success,4.29226834140718,0.6201588939875364,4.412465173751116,1.2868043160997331
51.753156423568726,archive,f8c5f88b,2.2747046053409576,success,0.0,0.0,0.0,0.0
54.14983868598938,archive,4fd1909e,4.591349774040282,success,2.3070434909313917,0.5907558649778366,5.903518284205347,1.1941345250234008
54.262818813323975,archive,577d4d32,0.0,error,,,,
54.28113627433777,archive,853b0a1d,6.149264049716294,success,0.0,0.0,0.0,0.826048921328038
54.28942060470581,archive,e47becba,0.0,error,,,,
55.78687119483948,archive,e47becba,0.0,error,,,,
56.65112113952637,archive,c960da58,0.0,error,,,,
57.182860136032104,archive,8ebdbe50,0.0,error,,,,
57.47164011001587,archive,726462e0,0.0,error,,,,
57.472102880477905,archive,6ade9755,0.0,error,,,,
57.474337577819824,archive,75499fd8,0.0,error,,,,
57.48879933357239,archive,0862e8bf,0.0,error,,,,
59.94749689102173,archive,51a45a95,4.111398917622864,success,54.79720480926335,8.097769020590931,42.10097618959844,2.2854629601351917
59.95319485664368,archive,75499fd8,0.0,error,,,,
59.97194576263428,archive,c5e8278d,11.225944159086794,success,0.0,0.0,0.0,0.0
60.0521080493927,archive,0862e8bf,0.0,error,,,,
