concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,1.377818,0.725765,0.653856,1.164678,1.343557,0.0,28,0,1.377818,2.608013,0.247312,0.012781,0.380077,0.06,0.249395,0.029637
2,2.120452,0.938054,0.920688,1.350466,1.526445,0.0,44,0,2.120452,5.349321,0.208514,0.024242,0.572152,0.093494,0.210608,0.050936
4,2.409828,1.639702,1.536008,2.53805,3.004411,0.0,52,0,2.409828,8.666113,0.228922,0.033567,1.078615,0.19508,0.232952,0.075013
8,2.499337,3.146812,3.102584,4.072015,4.648184,0.0,52,0,2.499337,13.265711,0.301357,0.043719,1.822832,0.336933,0.309015,0.121238
16,2.425904,6.367983,6.191749,10.355021,10.819071,0.0,56,0,2.425904,15.378498,0.24916,0.049835,2.947989,0.310683,0.253359,0.110114
32,2.469943,11.975768,10.788952,20.424938,21.165283,0.0,60,0,2.469943,18.277579,0.240582,0.050149,5.786662,0.274397,0.24576,0.083178
