concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.793106,1.26085,0.660964,3.496507,4.075691,0.0,49,0,0.793106,0.776921,0.792133,0.014085,0.368538,0.077129,0.794751,0.016268
2,1.381025,1.444823,0.9031,3.606256,4.163482,0.0,84,0,1.381025,2.235946,0.833825,0.021398,0.478099,0.095335,0.836477,0.029599
4,2.177066,1.807298,1.336148,4.471424,6.507563,0.0,135,0,2.177066,3.886466,0.831872,0.027546,0.762621,0.170865,0.834607,0.030681
8,2.42653,3.239018,2.591606,6.770289,12.098554,0.006494,153,1,2.42653,6.312149,1.0553,0.045482,1.671345,0.418168,1.059235,0.080506
16,2.154334,6.04639,5.412381,12.080361,14.335712,0.029586,164,5,2.154334,7.067268,1.038822,0.090067,3.804063,0.97901,1.045761,0.192133
32,2.169142,11.446365,10.203589,21.108913,28.173424,0.175824,150,32,2.169142,9.992514,1.346852,0.198621,7.492842,1.871669,1.360937,0.622758
