concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.772079,1.295191,0.975423,2.466493,2.622496,0.0,47,0,0.772079,1.741285,0.836124,0.012496,0.0,0.0,0.0,0.0
2,0.915236,2.171398,2.064009,3.690838,5.05083,0.0,57,0,0.915236,4.062363,0.965054,0.015984,0.0,0.0,0.0,0.0
4,1.043031,3.712814,3.743883,5.42734,5.59419,0.0,68,0,1.043031,6.35022,0.876712,0.017921,0.0,0.0,0.0,0.0
8,0.724112,10.133743,10.605755,12.514272,13.069267,0.0,52,0,0.724112,8.257665,1.268754,0.01729,0.0,0.0,0.0,0.0
16,0.979937,15.005185,14.784804,18.887209,19.798275,0.0,72,0,0.979937,10.398223,0.896438,0.017913,0.0,0.0,0.0,0.0
32,0.935917,29.862558,33.381151,36.789567,40.966052,0.0,82,0,0.935917,10.911422,0.902307,0.018457,0.0,0.0,0.0,0.0
