concurrency,throughput,avg_latency,p50,p95,p99,error_rate,total_writes,total_errors,llm_rate,embedding_rate,avg_llm_time,avg_embedding_time,stage_compress,stage_segment,stage_llm_extract,stage_db_insert
1,0.321077,3.114485,3.489263,4.574065,4.825692,0.0,7,0,0.321077,1.100835,2.339443,0.044033,0.575784,0.038517,2.340241,0.157485
2,0.420048,3.197122,3.898183,4.440524,4.443175,0.166667,10,2,0.504058,2.68831,3.097522,0.026273,0.635714,0.049439,2.455253,0.051526
4,0.197774,10.903217,10.203067,17.979871,18.66497,0.375,5,3,0.276883,3.678594,11.065004,0.021848,0.795867,0.123193,9.903498,0.078073
8,1.198373,3.50435,0.569999,18.10341,21.627959,0.095238,38,4,1.324517,3.91048,4.115947,0.019136,0.669001,0.050809,2.772358,0.010389
16,0.984248,6.480009,3.981217,25.210908,30.806172,0.14,43,7,1.098695,3.685206,4.154288,0.021282,2.293426,0.19909,2.01839,0.018749
32,1.436544,11.830973,10.286374,26.991288,32.1737,0.1,63,7,1.550555,4.811281,3.534761,0.022212,2.059259,0.181789,2.220822,0.020044
