wall_time,type,user_id,latency,status,stage_stream_precompute,stage_add_memory,stage_extract_wait
23.589368104934692,archive,37d43f65,3.7490988462232053,success,0.9358434067107737,0.9901962680742145,1.8230464956723154
31.56385850906372,archive,c960da58,10.550284008029848,success,1.622975888196379,5.951815313193947,2.9754818971268833
32.833017110824585,archive,1e043500,11.40150469681248,success,1.4398700571618974,4.877446492668241,5.084178959019482
33.548556327819824,archive,ccb36322,13.959142161067575,success,2.2726289252750576,6.973488355986774,4.7130147609859705
35.62944197654724,archive,8ebdbe50,16.12496702838689,success,2.4586696312762797,6.186383011750877,7.479884790722281
36.450519323349,archive,853b0a1d,16.94436455098912,success,0.3918162640184164,0.7939198277890682,15.758617226034403
38.77984285354614,archive,4fd1909e,8.639587273821235,success,1.9943881817162037,6.0699340919964015,0.575252756010741
39.495157957077026,archive,66f24dbb,11.86648379592225,success,0.3967137266881764,8.181053064763546,3.288705623243004
40.07978057861328,archive,0862e8bf,12.0583479963243,success,6.623415199108422,3.8342205709777772,1.6007016338407993
40.53090977668762,archive,75499fd8,17.675741058774292,success,4.176040291320533,9.135142807848752,4.364549383986741
40.58681106567383,archive,e47becba,9.60920387180522,success,0.5566903781145811,6.649364398792386,2.403139348141849
41.763593435287476,archive,a06e4cfe,11.340827842708677,success,3.0380588308908045,4.801415638998151,3.501339897979051
42.23626899719238,archive,e01b8e2f,17.20346585009247,success,2.6974435839802027,8.851746326778084,5.654265619348735
43.33896851539612,archive,3b6f954b,19.562647060025483,success,2.966024937108159,10.106985478196293,6.489627807866782
45.166680335998535,archive,19b5f2b3,15.026480862870812,success,3.588847859762609,4.598308575339615,6.83931471966207
45.471731424331665,archive,3f1e9474,20.93838214688003,success,4.492553639225662,9.513152970001101,6.932664908003062
46.847654581069946,archive,c8c3f81d,9.505041628144681,success,1.090230415109545,8.227149541955441,0.18765191407874227
46.927940368652344,archive,f8c5f88b,11.177033128216863,success,0.43291743472218513,10.482318098191172,0.2617862340994179
