wall_time,type,user_id,latency,status
34.54285955429077,archive,37d43f65,6.771596341859549,success
36.44734740257263,archive,853b0a1d,9.014049839694053,success
37.15141534805298,archive,ccb36322,9.63605108531192,success
37.17478132247925,archive,66f24dbb,1.6228161230683327,success
38.311699867248535,archive,0862e8bf,2.4239669130183756,success
38.36611819267273,archive,8ebdbe50,10.937155809719115,success
38.45946550369263,archive,c960da58,9.521303847897798,success
38.48318648338318,archive,e01b8e2f,5.526193936821073,success
39.16771912574768,archive,1e043500,9.81158611131832,success
39.73745942115784,archive,3f1e9474,7.28314339928329,success
41.6519832611084,archive,6b168ec8,9.532799880951643,success
41.93328666687012,archive,4fd1909e,3.868864356074482,success
42.24968886375427,archive,b86304ba,8.623357753735036,success
43.26056456565857,archive,e47becba,4.3502953560091555,success
43.77537155151367,archive,b320f3f8,9.645887014921755,success
43.91238975524902,archive,a06e4cfe,5.5964919701218605,success
44.612810373306274,archive,3b6f954b,12.911607710178941,success
45.020790100097656,archive,f8c5f88b,1.3459481648169458,success
45.04910731315613,archive,af8d2e46,11.506139582023025,success
46.492778301239014,archive,19b5f2b3,8.428480981849134,success
48.218899965286255,archive,545bd2b5,9.735624501015991,success
48.5177116394043,archive,c8c3f81d,3.2512206621468067,success
48.54736280441284,archive,e01b8e2f,7.217047767248005,success
48.83872985839844,archive,75499fd8,18.05922578414902,success
49.71074461936951,archive,6b168ec8,8.05864893971011,success
50.64166617393494,archive,ccb36322,13.490216174628586,success
51.131224393844604,archive,6ade9755,20.51907370844856,success
52.27034068107605,archive,c960da58,8.511192861013114,success
52.50996160507202,archive,d52b4f67,13.272892287001014,success
52.56259489059448,archive,66f24dbb,2.8516925843432546,success
53.16893005371094,archive,853b0a1d,2.543270220980048,success
54.76169228553772,archive,4fd1909e,2.7123578786849976,success
55.244659662246704,archive,dccbc061,11.987901531159878,success
56.60993552207947,archive,3b6f954b,11.9961240850389,success
56.679407835006714,archive,ccb36322,6.03770337626338,success
56.77080154418945,archive,6b168ec8,7.059964872896671,success
57.82688903808594,archive,e47becba,14.566287693101913,success
58.23428177833557,archive,25e5aa4f,13.971338375005871,success
58.73778700828552,archive,c5e8278d,7.525751573033631,success
59.63573145866394,archive,6ade9755,8.504461659118533,success
60.512237310409546,archive,ad7109d1,12.481381769292057,success
60.65263533592224,archive,118b2229,16.038760741706938,success
60.77095174789429,archive,726462e0,15.421177021227777,success
62.122732162475586,archive,1e043500,22.954959135968238,success
62.81146311759949,archive,25e5aa4f,4.577136658132076,success
62.83843684196472,archive,d52b4f67,10.328437151387334,success
62.891664266586304,archive,7527f7e2,8.664658059831709,success
63.02624225616455,archive,51a45a95,4.696607689373195,success
63.05457139015198,archive,75499fd8,14.215803301893175,success
63.67509984970093,archive,8a137a7f,14.891903061885387,success
63.76237678527832,archive,0862e8bf,22.65072662103921,success
65.4592752456665,archive,ccb36322,8.779833605978638,success
66.05157732963562,archive,545bd2b5,9.73013673722744,success
66.54580116271973,archive,37d43f65,12.821799964644015,success
66.63931798934937,archive,6ade9755,7.0035422830842435,success
67.74077081680298,archive,1e043500,5.6179884620942175,success
68.03443932533264,archive,21436231,10.023121148347855,success
68.44275379180908,archive,8ebdbe50,11.117886039894074,success
70.43940448760986,archive,c960da58,17.384970056824386,success
71.13792109489441,archive,f8c5f88b,19.127829163335264,success
71.3216564655304,archive,577d4d32,17.76509781833738,success
71.55624127388,archive,e47becba,13.729303375352174,success
72.21513724327087,archive,dccbc061,5.175558338873088,success
72.73863863945007,archive,7527f7e2,9.846933802124113,success
74.2108223438263,archive,75499fd8,11.156208824831992,success
74.44146728515625,archive,726462e0,13.670481166802347,success
74.81265115737915,archive,118b2229,8.501693055033684,success
76.62135362625122,archive,6f9b354f,10.503516163676977,success
77.5277042388916,archive,5d3d2817,10.114835293963552,success
78.11008381843567,archive,001be529,11.908829870633781,success
78.63874697685242,archive,8a137a7f,14.963602337054908,success
79.75670266151428,archive,15745da0,19.544272389728576,success
80.72945499420166,archive,ad7109d1,14.61153534706682,success
82.22557282447815,archive,0862e8bf,18.4631604119204,success
82.33500099182129,archive,86b68151,15.024800629355013,success
82.42918133735657,archive,577d4d32,11.107490463647991,success
83.38726210594177,archive,75499fd8,9.176343930885196,success
85.37322664260864,archive,6b168ec8,16.46140522090718,success
85.64832806587219,archive,e47becba,14.092051630839705,success
85.6732850074768,archive,3b6f954b,14.614157693926245,success
86.91096639633179,archive,3f1e9474,18.280870894901454,success
87.11016011238098,archive,b320f3f8,15.381390624679625,success
87.62469387054443,archive,4fd1909e,12.211227216757834,success
87.93756628036499,archive,bc8a6e93,17.799729387741536,success
89.24142026901245,archive,c960da58,18.18235438177362,success
89.41603517532349,archive,6ade9755,22.776683190837502,success
90.5692298412323,archive,94f70d80,15.910246106330305,success
90.65132594108582,archive,1e043500,22.91050421213731,success
94.39124464988708,archive,7527f7e2,21.6525772633031,success
94.92290019989014,archive,f8c5f88b,23.784948238171637,success
95.49197697639465,archive,726462e0,21.050473134033382,success
95.53331542015076,archive,37d43f65,21.62715236702934,success
96.2678382396698,archive,b320f3f8,9.157630908768624,success
97.74122834205627,archive,d52b4f67,34.90274493815377,success
99.21657633781433,archive,c8c3f81d,5.463948588818312,success
99.32190728187561,archive,51a45a95,22.90362109290436,success
99.61001944541931,archive,8a137a7f,20.971221844665706,success
100.04213166236877,archive,e01b8e2f,18.231927996966988,success
100.66917729377747,archive,caf9ead2,19.05812469869852,success
100.75531363487244,archive,3f1e9474,13.844279495067894,success
101.52796483039856,archive,0862e8bf,19.30231949593872,success
101.64547276496887,archive,a06e4cfe,24.724325831979513,success
102.92826533317566,archive,c5e8278d,25.512801093049347,success
103.3286988735199,archive,ad7109d1,22.317961611319333,success
104.74790167808533,archive,6b168ec8,19.37460602913052,success
104.91145396232605,archive,58bf7951,23.888160116039217,success
105.23163032531738,archive,853b0a1d,22.28115379391238,success
105.4406955242157,archive,8ebdbe50,20.983119351789355,success
105.86046528816223,archive,19b5f2b3,24.650121806189418,success
105.86050295829773,archive,d52b4f67,8.119186874013394,success
106.1449236869812,archive,ccb36322,27.13079161103815,success
106.17009353637695,archive,118b2229,27.25790198892355,success
106.21452188491821,archive,545bd2b5,16.313518526032567,success
107.16757440567017,archive,e47becba,21.519185501150787,success
107.26828646659851,archive,bc8a6e93,19.330679409205914,success
107.47976040840149,archive,25e5aa4f,22.184821805916727,success
108.15839719772339,archive,75499fd8,24.771056212019175,success
109.74536490440369,archive,726462e0,14.253301938064396,success
111.23706889152527,archive,37d43f65,15.703706281259656,success
111.49120879173279,archive,95bcc1c8,16.818128386046737,success
112.12766027450562,archive,6ade9755,22.71158140199259,success
113.13565182685852,archive,8550ddae,25.329433308914304,success
113.27302551269531,archive,3b6f954b,22.283327776007354,success
113.71016049385071,archive,1e043500,23.058771449141204,success
114.7122688293457,archive,f8c5f88b,19.78931290889159,success
117.63759684562683,archive,4fd1909e,23.968989646993577,success
118.01309323310852,archive,d52b4f67,12.152522528078407,success
118.14377450942993,archive,ec81a493,15.426825386006385,success
118.56768226623535,archive,94f70d80,27.99838437559083,success
118.92606854438782,archive,51a45a95,19.60412494884804,success
119.92827343940735,archive,dccbc061,20.649340220727026,success
120.67218017578125,archive,c960da58,31.43071833997965,success
120.93541884422302,archive,0862e8bf,19.407394740264863,success
121.01013970375061,archive,c8c3f81d,21.79351463681087,success
121.15756273269653,archive,bc8a6e93,13.889227318111807,success
122.82648229598999,archive,e01b8e2f,17.51859728898853,success
122.91034173965454,archive,25e5aa4f,15.43052568892017,success
123.08634305000305,archive,21436231,22.466408827807754,success
125.25840902328491,archive,caf9ead2,24.589185819029808,success
125.44149923324585,archive,853b0a1d,18.207554050255567,success
126.1381425857544,archive,3f1e9474,25.382776053156704,success
126.43980240821838,archive,ccb36322,20.294824921991676,success
126.74280834197998,archive,e47becba,19.575167005416006,success
127.21910166740417,archive,8ebdbe50,21.778343699872494,success
128.0118601322174,archive,66f24dbb,20.097986684646457,success
128.70615887641907,archive,545bd2b5,22.491575127933174,success
129.14056944847107,archive,a06e4cfe,27.494991222396493,success
129.33924198150635,archive,c5e8278d,26.4109037197195,success
129.61180901527405,archive,58bf7951,24.70029151486233,success
129.84070801734924,archive,6b168ec8,25.092745376285166,success
132.4266722202301,archive,6ade9755,20.298856537323445,success
132.45288157463074,archive,3b6f954b,19.179806710220873,success
132.883718252182,archive,37d43f65,21.64660646999255,success
