elapsed_sec,throughput_eps,completed_so_far,errors_so_far,archives,queries,total_backlog,stage_compress_time,stage_segment_time,stage_llm_extract_time,stage_db_insert_time,stream_cache_hits,stream_cache_misses,stream_precompute_calls,stream_precompute_time
24.032714128494263,0.0,0,0,6,0,6,0.8301720689050853,0.2517295815050602,0.0,0.0,0,0,0,0.0
26.03567409515381,0.0,0,0,8,0,8,4.035692885983735,2.039373515173793,0.0,0.0,0,0,0,0.0
28.072003602981567,0.9821593176899386,2,0,10,0,10,4.636620392557234,2.26361371204257,6.902331852819771,0.5192217058502138,0,0,0,0.0
30.07575821876526,0.4990631048946523,3,0,13,0,13,6.308997726533562,3.1001038141548634,10.505059976130724,1.068131127860397,0,0,0,0.0
32.10935688018799,0.4917391120332407,4,0,15,0,15,6.308997726533562,3.1001038141548634,29.20229632500559,2.5726319970563054,0,0,0,0.0
34.112571239471436,2.4959884980998774,9,0,20,0,20,15.614035650156438,11.586127999704331,32.86845823796466,4.862732334062457,0,0,0,0.0
40.274728775024414,0.16228082359635135,10,0,25,0,25,15.614035650156438,11.586127999704331,44.28339849738404,14.328202839475125,0,0,0,0.0
42.27754259109497,0.0,10,0,25,0,25,15.614035650156438,11.586127999704331,47.37434034841135,14.328202839475125,0,0,0,0.0
44.28061652183533,0.9984653932672269,12,0,27,0,27,15.614035650156438,11.586127999704331,51.862991210538894,16.470401344355196,0,0,0,0.0
46.284658432006836,0.49899156046812343,13,0,33,0,33,172.2604028484784,80.25655723642558,52.05312148947269,16.470443022437394,0,0,0,0.0
52.226988077163696,0.8414208397333054,18,0,32,0,32,175.2193794986233,80.70490124123171,53.93036728724837,16.80659563653171,0,0,0,0.0
54.27135610580444,0.4891487178386745,19,0,34,0,34,175.2193794986233,80.70490124123171,66.68488616822287,18.024826930370182,0,0,0,0.0
56.27423310279846,9.486353894181123,38,0,34,0,34,210.21027455152944,128.08556147059426,161.50144773349166,37.50859072152525,0,0,0,0.0
69.89891719818115,0.5871695772169238,46,0,42,0,42,341.1311102891341,215.43695442099124,189.27562982030213,62.85778204491362,0,0,0,0.0
88.57163429260254,0.1606622102627085,49,0,42,0,42,407.5337117034942,250.21758577553555,227.91385913128033,64.71630919538438,0,0,0,0.0
90.57730555534363,1.9943447733968744,53,0,42,0,42,407.5337117034942,250.21758577553555,260.1228730622679,69.51868983870372,0,0,0,0.0
94.07528805732727,3.43054889302477,65,0,41,0,41,407.5337117034942,250.21758577553555,344.2779316911474,103.76899748854339,0,0,0,0.0
101.1989119052887,0.701889951900093,70,0,44,0,44,889.719096059911,392.65604229364544,406.3799930992536,105.57293390342966,0,0,0,0.0
116.51063251495361,0.13061889326386866,72,0,43,0,43,895.2309774155729,394.17744845850393,407.38182437000796,105.57302171830088,0,0,0,0.0
118.5138430595398,1.9967946009520983,76,0,43,0,43,895.2309774155729,394.17744845850393,418.06775998091325,107.74489086074755,0,0,0,0.0
120.51679992675781,0.0,76,0,44,0,44,895.2309774155729,394.17744845850393,467.1188998478465,107.74489086074755,0,0,0,0.0
122.51879692077637,0.9990024989924954,78,0,44,0,44,895.2309774155729,394.17744845850393,515.342271507252,114.63091967394575,0,0,0,0.0
124.52109169960022,8.989685330235538,96,1,42,0,42,895.2309774155729,394.17744845850393,543.518720140215,193.83303170185536,0,0,0,0.0
131.47830986976624,0.14373561034613028,97,1,46,0,46,1300.8491918840446,609.3050484843552,544.6072411295027,194.00755704101175,0,0,0,0.0
153.2720513343811,0.09176946524979543,99,1,46,0,46,1306.5419776081108,611.9902363233268,545.6305767786689,194.00766564486548,0,0,0,0.0
155.37826085090637,0.0,99,1,46,0,46,1306.5419776081108,611.9902363233268,545.6305767786689,194.00766564486548,0,0,0,0.0
158.3724286556244,0.0,99,1,46,0,46,1306.5419776081108,611.9902363233268,545.6305767786689,194.00766564486548,0,0,0,0.0
160.97108912467957,0.0,99,1,46,0,46,1306.5419776081108,611.9902363233268,545.6305767786689,194.00766564486548,0,0,0,0.0
163.37142848968506,0.0,99,1,46,0,46,1306.5419776081108,611.9902363233268,545.6305767786689,194.00766564486548,0,0,0,0.0
166.37444758415222,0.0,99,1,46,0,46,1306.5419776081108,611.9902363233268,573.1619685865007,194.00766564486548,0,0,0,0.0
170.18607878684998,0.0,99,1,46,0,46,1306.5419776081108,611.9902363233268,828.6070214286447,194.00766564486548,0,0,0,0.0
172.18986129760742,0.49905615735811154,100,1,46,0,46,1306.5419776081108,611.9902363233268,911.2816965701059,199.72988206380978,0,0,0,0.0
174.2089307308197,0.0,100,1,46,0,46,1306.5419776081108,611.9902363233268,911.2816965701059,199.72988206380978,0,0,0,0.0
176.2712025642395,1.9396085109531498,104,1,46,0,46,1306.5419776081108,611.9902363233268,957.9001317271031,229.9163957806304,0,0,0,0.0
178.277410030365,9.969058702899375,124,2,44,0,44,1899.6219107951038,840.5941402558237,1090.2309719510376,372.0540133775212,0,0,0,0.0
196.17806935310364,0.0,124,2,44,0,44,1899.6219107951038,840.5941402558237,1090.2309719510376,372.0540133775212,0,0,0,0.0
198.18024730682373,1.9978244154411489,128,2,42,0,42,1899.6219107951038,840.5941402558237,1105.3500091047026,373.93791705043986,0,0,0,0.0
200.1825532913208,0.9988483356115776,130,2,42,0,42,1899.6219107951038,840.5941402558237,1127.4799543581903,375.18405705550686,0,0,0,0.0
202.28949856758118,2.8477246502811027,136,2,40,0,40,1899.6219107951038,840.5941402558237,1158.9552200683393,382.9986201678403,0,0,0,0.0
205.58508849143982,2.730922295533161,145,3,39,0,39,2334.4772325754166,1126.529468852561,1209.2822316470556,395.0400946266018,0,0,0,0.0
228.7712790966034,0.08625824026283124,147,3,38,0,38,2347.990340205375,1128.6671119001694,1211.4416699502617,395.04020990245044,0,0,0,0.0
230.9777262210846,0.0,147,3,38,0,38,2347.990340205375,1128.6671119001694,1211.4416699502617,395.04020990245044,0,0,0,0.0
234.47751474380493,0.0,147,3,38,0,38,2347.990340205375,1128.6671119001694,1211.4416699502617,395.04020990245044,0,0,0,0.0
237.47170233726501,0.0,147,3,38,0,38,2347.990340205375,1128.6671119001694,1211.4416699502617,395.04020990245044,0,0,0,0.0
239.77855896949768,0.0,147,3,38,0,38,2347.990340205375,1128.6671119001694,1211.4416699502617,395.04020990245044,0,0,0,0.0
242.378253698349,0.0,147,3,38,0,38,2347.990340205375,1128.6671119001694,1211.4416699502617,395.04020990245044,0,0,0,0.0
