elapsed_sec,throughput_eps,completed_so_far,errors_so_far,archives,queries,total_backlog,stage_compress_time,stage_segment_time,stage_llm_extract_time,stage_db_insert_time
20.98908281326294,0.0,0,0,6,0,6,3.1299159256741405,0.9979261043481529,0.0,0.0
23.005922317504883,0.49582527409679217,1,0,7,0,7,4.25239800196141,1.322029555682093,2.17523181065917,0.14036458125337958
25.050907373428345,1.9560045137805198,5,0,10,0,10,7.3460952723398805,3.651178430300206,13.540846465621144,0.9511865465901792
27.60860848426819,1.1729282938047922,8,0,12,0,12,17.36843569902703,11.13124040607363,27.15992516791448,1.564073952846229
31.254168033599854,1.6458378799764692,14,0,17,0,17,29.732909901533276,21.361086065880954,49.24452250264585,2.4256787546910346
35.382768392562866,1.4532770135947548,20,0,21,0,21,40.2268894421868,27.22460687160492,58.96690261270851,2.5202382365241647
39.29777145385742,2.043421135245467,28,0,16,0,16,52.23656883323565,30.75125747732818,100.40444504702464,5.526398727204651
41.59324550628662,1.7425594490022556,32,0,16,0,16,56.89023528713733,35.816937387455255,122.87353478604928,6.763739745132625
44.32317113876343,1.4652413796235468,36,0,17,0,17,60.639449888374656,36.49198536854237,138.28446922870353,7.508988004177809
46.53189015388489,1.8110044657627198,40,0,20,0,20,66.29406126495451,41.34680423140526,160.63188416836783,8.345819865353405
49.48456311225891,2.0320570833906633,46,0,19,0,19,69.1358568877913,45.814846076536924,182.57858232827857,9.56029368052259
52.390461683273315,2.0647658042329717,52,1,15,0,15,72.41978056542575,46.865713064558804,216.70235319342464,10.441015705931932
54.39149808883667,2.4987051640334066,57,1,13,0,13,74.17684991518036,48.099701369181275,245.1471393625252,11.51970039634034
56.41152620315552,1.485127844872396,60,1,10,0,10,74.17684991518036,48.099701369181275,257.01847617933527,12.097493456210941
58.413519859313965,1.4985062468962018,63,1,11,0,11,74.17684991518036,48.099701369181275,265.64150338759646,12.590161722153425
60.41506576538086,0.9992276439614955,65,2,18,0,18,90.58137911651284,64.45536965038627,284.36940838675946,13.548726785928011
64.75473833084106,0.6912963950039078,68,2,18,0,18,100.93594824988395,73.2108859475702,287.51288499264047,13.860978526528925
67.97042202949524,0.6219517177131066,70,2,19,0,19,102.89904184825718,75.41131893079728,296.6338993292302,13.96845548786223
70.06257033348083,1.91191035185216,74,2,22,0,22,107.23012990923598,77.98216255614534,311.02737529948354,15.045969251077622
73.06129932403564,1.3338984658496733,78,2,23,0,23,108.73315020138398,78.41800138633698,342.96274357428774,16.035100666806102
75.0656247138977,4.490288875011152,87,2,27,0,27,144.28860370768234,116.68233516672626,430.3332317494787,20.61404308769852
81.16197919845581,0.16403245620525708,88,2,27,0,27,147.73011106206104,117.39213728485629,439.81329335831106,20.61411225842312
83.455885887146,0.4359375230607123,89,2,30,0,30,147.73011106206104,117.39213728485629,439.81329335831106,23.016608303412795
86.0537965297699,3.0793976777892422,97,2,41,0,41,255.45233888039365,287.0723852762021,786.6195126287639,67.83893414214253
114.55041646957397,0.28073504917071235,105,2,39,0,39,255.45233888039365,287.0723852762021,917.0971854580566,126.0344511079602
116.5579001903534,0.49813604446652415,106,2,38,0,38,255.45233888039365,287.0723852762021,989.4929461902939,132.4175713090226
118.85961580276489,0.0,106,2,40,0,40,255.45233888039365,287.0723852762021,989.4929461902939,132.4175713090226
121.05957078933716,0.45455475503073495,107,2,40,0,40,255.45233888039365,287.0723852762021,996.1522680423222,134.32488390477374
123.45167517662048,3.7623776152265482,116,2,45,0,45,648.3807791462168,480.040123145096,1124.057619816158,170.98233425384387
143.55281710624695,0.049748417453146294,117,2,45,0,45,648.3807791462168,480.040123145096,1130.9398402632214,170.98237519990653
153.9507393836975,2.3081534329264572,141,2,43,0,43,801.1638401797973,613.9812662494369,1855.3858450516127,287.8900026991032
176.85961842536926,0.8293727495543795,160,4,37,0,37,846.2149104294367,682.8377650082111,2027.1369275003672,342.77165488293394
193.3515248298645,0.6669938411123715,171,4,31,0,31,997.8056579022668,831.3823331925087,2401.289705974981,346.26582125527784
232.37536597251892,0.3331296873743817,184,4,26,0,26,1090.311328410171,922.6948843630962,3157.0577073544264,519.9681144841015
239.55525398254395,0.557111753611608,188,4,23,0,23,1115.1351222479716,974.2151527390815,3305.823176212609,549.3868878232315
255.59816026687622,0.7479941469033804,200,4,16,0,16,1119.2939213700593,980.4457219168544,3420.990551501047,571.826455000788
259.1504542827606,0.2815082297603776,201,4,16,0,16,1121.7922753756866,981.3879274325445,3425.4695862857625,572.0509396437556
261.15755128860474,1.9929280888532526,205,5,15,0,15,1123.4458605637774,982.6762510426342,3565.782226553187,572.4493799181655
264.2651128768921,0.9653871419016242,208,5,13,0,13,1125.0335439778864,983.6146351220086,3583.593807428144,573.7164177745581
266.2663309574127,0.9993913304439499,210,5,11,0,11,1125.0335439778864,983.6146351220086,3594.613966068253,574.0932487864047
268.26779985427856,1.4988991358785453,213,5,11,0,11,1127.20483075222,985.0497085931711,3605.4694318999536,574.8707688907161
271.05052852630615,0.35935950567231084,214,5,11,0,11,1127.4100008821115,985.7042392082512,3683.1676705726422,575.1264593079686
273.0528426170349,0.9988442918423864,216,5,11,0,11,1128.0531823700294,985.8315315144137,3695.2518513975665,575.6469590747729
275.0590331554413,1.9938285638498827,220,5,9,0,9,1129.4236246142536,986.8502732533962,3716.958403996192,576.1048521152698
277.0707712173462,0.49708260679479505,221,5,8,0,8,1129.4236246142536,986.8502732533962,3718.0016491771676,576.1637775469571
279.07307600975037,0.9988489302862791,223,5,8,0,8,1130.7629654612392,987.5884213377722,3809.315811913926,576.6525599062443
281.0746066570282,0.9992352616334335,225,5,7,0,7,1130.7629654612392,987.5884213377722,3815.9221691437997,577.1852894453332
283.0921175479889,0.4956602734986092,226,5,7,0,7,1131.623433693312,987.7536046486348,3867.8571387566626,577.3257025815547
285.1036696434021,0.9942571234224808,228,6,7,0,7,1132.2238255231641,987.8568924334832,3922.6679366384633,577.4959208313376
287.10538506507874,1.498714536298672,231,6,6,0,6,1133.6249652421102,988.7470455425791,4100.531091504265,578.2112299054861
289.10777020454407,0.49940442539791097,232,6,6,0,6,1134.862309048418,988.844274548348,4101.781522619072,578.2597217587754
291.10884380340576,0.9994634885681841,234,7,5,0,5,1135.2394333533011,988.8917073043995,4110.378997004125,578.4001281629317
