elapsed_sec,throughput_eps,completed_so_far,errors_so_far,archives,queries,total_backlog,stage_compress_time,stage_segment_time,stage_llm_extract_time,stage_db_insert_time,stream_cache_hits,stream_cache_misses,stream_precompute_calls,stream_precompute_time
26.579036474227905,0.0,0,0,6,0,6,0.2606064509600401,0.25209323130548,0.0,0.0,0,0,0,0.0
28.760215520858765,0.0,0,0,23,0,23,16.812152102589607,27.439986085519195,0.0,0.0,0,0,0,0.0
41.59932541847229,0.0,0,0,26,0,26,16.812152102589607,27.439986085519195,15.719260201789439,0.0,0,0,0,0.0
43.60145688056946,0.9989354035249337,2,0,28,0,28,16.812152102589607,27.439986085519195,24.34206098364666,2.880664963275194,0,0,0,0.0
45.60286831855774,0.9992947786939301,4,0,29,0,29,16.812152102589607,27.439986085519195,24.34206098364666,6.465012490749359,0,0,0,0.0
47.60384392738342,0.4997562167121427,5,0,30,0,30,16.812152102589607,27.439986085519195,24.34206098364666,13.148557802662253,0,0,0,0.0
50.009315490722656,0.0,5,0,31,0,31,16.812152102589607,27.439986085519195,33.55703629460186,13.148557802662253,0,0,0,0.0
52.5429425239563,3.157528671372629,13,0,37,0,37,256.6873314436525,151.32744054775685,39.02672242606059,15.625629383604974,0,0,0,0.0
60.56213879585266,0.0,13,0,37,0,37,256.6873314436525,151.32744054775685,39.02672242606059,15.625629383604974,0,0,0,0.0
62.57248044013977,0.0,13,0,37,0,37,285.28937545698136,158.30815995298326,39.02672242606059,15.625629383604974,0,0,0,0.0
64.58545660972595,1.4903306086413959,16,0,38,0,38,287.3242192803882,160.8090746779926,39.02672242606059,15.625629383604974,0,0,0,0.0
68.08185338973999,0.5720174584967928,18,0,38,0,38,288.5590805877,161.16589044965804,67.61861260002479,16.030090442858636,0,0,0,0.0
70.08431029319763,1.4981595832698826,21,0,36,0,36,288.5590805877,161.16589044965804,95.7025404185988,16.571965681388974,0,0,0,0.0
72.09131050109863,2.491280260119751,26,0,36,0,36,288.9858617768623,161.2113579167053,168.06485364492983,18.513392982073128,0,0,0,0.0
