elapsed_sec,throughput_eps,completed_so_far,errors_so_far,archives,queries,total_backlog,stage_compress_time,stage_segment_time,stage_llm_extract_time,stage_db_insert_time,stream_cache_hits,stream_cache_misses,stream_precompute_calls,stream_precompute_time
23.080798149108887,0.0,0,0,6,0,6,0.4573186677880585,0.19368782918900251,0.0,0.0,0,0,0,0.0
25.08215308189392,0.0,0,0,8,0,8,3.723477817606181,1.3085925169289112,0.0,0.0,0,0,0,0.0
27.083918809890747,0.9991179147628863,2,0,10,0,10,4.703197443857789,1.6507416511885822,7.513691713102162,0.41524479957297444,0,0,0,0.0
29.086484909057617,0.499359297261664,3,0,15,0,15,6.495677343569696,2.978078910149634,7.513691713102162,1.615115602966398,0,0,0,0.0
31.622425317764282,2.3659861956535533,9,0,19,0,19,12.181235765572637,7.590443171095103,34.91612979117781,8.211583913769573,0,0,0,0.0
38.081377029418945,0.15482388546048112,10,0,22,0,22,12.181235765572637,7.590443171095103,38.75559175061062,13.70383916189894,0,0,0,0.0
40.08435821533203,0.0,10,0,25,0,25,12.181235765572637,7.590443171095103,38.75559175061062,13.70383916189894,0,0,0,0.0
42.08612895011902,0.499557707894262,11,0,26,0,26,12.181235765572637,7.590443171095103,43.415889059659094,14.762417575810105,0,0,0,0.0
44.08841943740845,0.0,11,0,28,0,28,12.181235765572637,7.590443171095103,43.415889059659094,14.762417575810105,0,0,0,0.0
46.10806441307068,0.9902730549680941,13,0,33,0,33,187.49098477466032,98.10258892085403,43.62950043473393,14.762496535200626,0,0,0,0.0
52.12105965614319,0.6652258713506127,17,0,34,0,34,190.04505309974775,99.00399750983343,45.92641116678715,14.762616280000657,0,0,0,0.0
54.1394362449646,2.477238404216552,22,0,33,0,33,190.04505309974775,99.00399750983343,59.50128030311316,21.995123642496765,0,0,0,0.0
56.18102407455444,0.9796296642313944,24,0,32,0,32,190.04505309974775,99.00399750983343,90.33331514475867,24.923808423336595,0,0,0,0.0
58.18388843536377,6.9899890746185225,38,0,37,0,37,264.861392471008,192.87650405056775,162.17883647885174,79.2923113363795,0,0,0,0.0
75.70565128326416,0.0,38,0,40,0,40,264.861392471008,192.87650405056775,188.66160991508514,79.2923113363795,0,0,0,0.0
77.79269170761108,5.749768840129216,50,0,45,0,45,554.3829224016517,408.4959198348224,339.8286047312431,93.53073035832494,0,0,0,0.0
99.82621932029724,0.22692689468032207,55,0,44,0,44,554.3829224016517,408.4959198348224,345.05675084656104,94.05050211818889,0,0,0,0.0
101.82796382904053,0.9991285057929888,57,0,43,0,43,554.3829224016517,408.4959198348224,353.5949230575934,96.83480730699375,0,0,0,0.0
103.83096647262573,0.4992504643978326,58,0,43,0,43,554.3829224016517,408.4959198348224,404.56918462878093,97.62268249085173,0,0,0,0.0
105.88562202453613,4.3802962455832954,67,0,43,0,43,554.3829224016517,408.4959198348224,454.15775147406384,131.2148341606371,0,0,0,0.0
110.09467029571533,1.900667201841982,75,0,45,0,45,956.452779349871,486.1012190557085,472.1376060252078,160.31171108270064,0,0,0,0.0
124.2316300868988,0.2122097002688621,78,0,44,0,44,956.452779349871,486.1012190557085,472.8202023515478,160.31180613022298,0,0,0,0.0
126.28029227256775,0.488123423664147,79,0,44,0,44,956.452779349871,486.1012190557085,500.5193987111561,161.92324217502028,0,0,0,0.0
128.28472542762756,7.483412436147009,94,0,44,0,44,956.452779349871,486.1012190557085,572.8959803916514,221.75791407190263,0,0,0,0.0
134.69304418563843,1.7165188585928564,105,0,45,0,45,1299.7524247393012,718.5751875210553,599.8999104984105,244.9201533854939,0,0,0,0.0
158.6955008506775,0.12498720617917707,108,0,45,0,45,1330.4751647431403,728.5037381891161,602.0559200784191,245.0280594327487,0,0,0,0.0
160.74726510047913,0.4873854294403852,109,0,45,0,45,1330.4751647431403,728.5037381891161,608.5112786241807,245.78627845877782,0,0,0,0.0
162.78134989738464,6.391080656901368,122,1,45,0,45,1330.4751647431403,728.5037381891161,708.262010099832,278.041521966923,0,0,0,0.0
169.9908263683319,1.5257695956603476,133,1,43,0,43,1826.5912497462705,1032.6638936656527,782.9240536373109,295.2541734385304,0,0,0,0.0
194.68171000480652,0.04050077813022252,134,1,43,0,43,1826.5912497462705,1032.6638936656527,785.1722784144804,295.2542251464911,0,0,0,0.0
196.68711495399475,1.495957213636263,137,1,42,0,42,1826.5912497462705,1032.6638936656527,790.8963693073019,296.88990456284955,0,0,0,0.0
198.68892741203308,0.0,137,1,42,0,42,1826.5912497462705,1032.6638936656527,816.67434826307,296.88990456284955,0,0,0,0.0
200.69174361228943,1.4978908197447272,140,1,42,0,42,1826.5912497462705,1032.6638936656527,836.6182353487238,303.87453399877995,0,0,0,0.0
202.6952805519104,0.0,140,1,42,0,42,1826.5912497462705,1032.6638936656527,888.9371716971509,303.87453399877995,0,0,0,0.0
204.78141164779663,3.8348500800240646,148,1,38,0,38,1826.5912497462705,1032.6638936656527,914.6985900700092,345.5688709774986,0,0,0,0.0
209.31377625465393,1.1031769139744816,153,1,37,0,37,2377.2754529947415,1250.0298766759224,914.6985900700092,369.36647892044857,0,0,0,0.0
228.08357501029968,0.1065541525530966,155,1,36,0,36,2377.2754529947415,1250.0298766759224,916.3521229261532,369.36656268686056,0,0,0,0.0
230.1883201599121,0.0,155,1,36,0,36,2377.2754529947415,1250.0298766759224,916.3521229261532,369.36656268686056,0,0,0,0.0
232.68962264060974,0.0,155,1,36,0,36,2377.2754529947415,1250.0298766759224,916.3521229261532,369.36656268686056,0,0,0,0.0
235.38041043281555,0.0,155,1,36,0,36,2377.2754529947415,1250.0298766759224,916.3521229261532,369.36656268686056,0,0,0,0.0
238.48183846473694,0.0,155,1,36,0,36,2377.2754529947415,1250.0298766759224,928.1565604242496,369.36656268686056,0,0,0,0.0
240.78244471549988,0.0,155,1,36,0,36,2377.2754529947415,1250.0298766759224,928.1565604242496,369.36656268686056,0,0,0,0.0
